,target,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
0,1,-1.7302914868430765,-0.38733784612551403,0.4870702049635889,-0.2921364135916202,0.49467013404050264,-0.40104767008805947,-0.11550536139728312,-0.503686263647021,0.10560413489392136,-0.5027411740612284,-0.6401932756152892,0.5952966596555388,-0.7344157885552719,-0.9477940507844081,-0.7646678477580389,0.8368226759687277,-1.3521326138464913,-0.8814759272651941,-1.4076547421357817,0.6619976058420161,-0.48635434048440673,0.8422225797773771,-0.030119726712560684,0.33177870425998857,-0.12019548182499143,-0.4782577476415796,-0.5720087772152831,-0.2692792132119228,-0.2825689583733752,-0.4074340640435906
1,0,-1.7267710565544843,0.3494385924958944,-0.2950296147123594,0.8751400183004556,-0.904532834313227,0.4134523281097531,0.515698286067161,0.5552019087203828,-0.05108563768357478,0.6612948713916226,0.5306190993668947,-0.500716612150192,0.67759368178026,-0.7444271948438482,0.7730183538371036,0.8192632170397162,0.6350679612243656,0.41987751716145433,0.8838456522785135,0.6922193811387986,0.004795395813099147,-0.20054048292990362,-0.26851954598647004,-0.3110213379379477,-0.9314045176105071,0.48784220470160744,-1.4363416623068699,0.0924504036574897,-0.3352461618888231,-0.4074340640435906
2,1,-1.723250626265892,-4.615875267945792,3.7131533617408308,-4.071848766774286,1.2894637253534267,-4.4436162810082935,-2.3523696484661003,-2.806932506509274,3.7157777049927105,-1.0244903298018877,-1.1397622008506085,0.8732686269335423,-0.6299495710428635,1.1189690889660993,-0.44859030347567497,-0.06576544457714742,-0.9823464136043321,-1.3838071427013012,-1.4928978156441206,0.3366170098873014,1.348577053468801,0.520079901093467,-1.7626440014833094,-1.0675543523107227,0.41483807872537054,2.9146725394694437,-0.5122811620138921,1.2190540847684257,0.8047332194727227,-0.022060826940985885
3,1,-1.7197301959773,0.17096257528280953,-0.2088962030976042,0.17245187549441338,-0.40497269274096515,0.11389415136679566,-0.22195494759442283,0.015950612423459277,-0.03538834480594603,0.13384998448282076,-0.15587150302373654,0.6168646159295174,-0.20480156396591395,0.8533499600453084,-0.4883991216135269,-0.4658217609966312,-0.8182769344009402,-1.04541056124461,-0.6833278420483032,1.1101233241379547,0.11856562637701307,0.16061600222107408,0.8755091047483474,0.10010407738785827,-0.48597248871274046,-0.1541146933502852,0.11119349293681355,-0.06364258613742578,-0.2930785876763153,-0.34491164574004646
4,0,-1.7162097656887076,0.4871551861875794,-0.3503406381796555,0.46869533674114144,-0.9538690804338321,1.031864647210133,2.282004772593999,0.5457841354262446,0.046142990519523495,0.29149209755675015,0.632884767205279,-0.7095861573888681,0.5914028946510178,-0.05670035956808803,0.8130726890509961,1.1653755480276904,0.5754047107001314,0.4447723316153456,0.548421745558764,0.5472702259580035,0.0014533953253447168,-0.14562021869245217,-0.07702760324986263,-0.11351615741923109,2.0335984408015104,-0.34183423211865027,0.6353761699871009,-0.20308062520497006,-0.4979086789510299,-0.3885138303602018
5,0,-1.7126893354001154,0.6826610742031959,-0.5198417067013978,0.6339356075496498,-0.8017355160960333,0.24337792532794816,0.12253420032406874,0.42201092207848007,-0.06968249091797911,0.5993268822578334,0.6013090620376269,-0.22149606296706373,0.8936550422528516,0.47559270661021036,0.8000687670383296,0.5856126352336956,0.79675146036492,0.42995746106649113,0.5302465125654876,0.10363388037181838,-0.1907183409395898,-0.16333887377170417,-0.2554337880251748,0.05114847297626541,0.24898052654390715,0.17612997834553912,1.7930687974952242,-0.16015510774504407,-0.11678729779006505,-0.39696175363035685
6,1,-1.7091689051115233,-0.09355158813558245,0.06342979103711611,0.4774289299890074,0.24048896632954125,-0.04862732326546686,0.5540973882822025,-0.26706028302789553,-0.5662639771137387,0.13100958935412377,-0.2611718058261275,0.007032930441023735,0.1709622205808943,0.6363085001998634,-0.4135978459896526,-0.2191966740248799,-0.5001217315333594,-0.06324673830587706,-0.3575895024017959,0.3723408274715505,0.44622404099834967,-0.06888584282251176,1.0529809871652407,-0.21202482789955002,1.1043455947213026,-0.3606833002536428,-0.1995765499602291,0.36637760359160165,-0.18876783574695805,-0.40354101184536245
7,1,-1.705648474822931,-0.5197061428780002,-0.5804221139746923,-0.05827427459234204,0.9507481140147608,-1.4296012926723132,2.626877002626633,0.6918107970421329,-0.024229341382315178,-0.738059273336576,-0.26015193576979206,1.117466495996106,-0.6533721968276832,0.06564304963847448,-0.5480063222806146,1.8823567562907155,-0.7674303384846152,-1.130521823285071,-1.02993006539182,0.8882705237264498,-1.5775468610520353,-0.02860330059388597,1.1350148012450376,-0.8510092693782548,-0.024382083943789955,-0.5304992720520565,0.8336625687090835,1.4122687099478552,-2.73916586794873,5.047354954025767
8,0,-1.7021280445343387,0.6970458175423044,-0.652572148199817,0.6124244355837151,-0.7505585709078694,0.2133976570785452,0.5646276360433619,0.359351889206244,-0.05178302580430865,0.2626154091895198,0.7767681979899977,-0.6588258725543493,0.8537522611326445,0.6968873658893234,0.6871512039984313,-1.1796145167211003,0.19037506328491577,0.516370187721053,1.0939847651259074,-0.22338043737178703,-0.5845809520816307,-0.295414981976913,-0.5612533715463961,-0.07646814204965231,-0.7681161765014174,0.7496274828932479,0.8417553787379041,-0.07913010421268973,-0.10969259245222773,-0.36655701596219503
9,1,-1.6986076142457465,-0.19976312169417376,0.2020920176036601,-0.3355116357940652,0.41667403730673286,-0.70396533272979,0.3196903946234836,-0.22616037087098223,0.43287435716950673,-0.839837739159949,-0.6611256332717672,0.5393210967224612,-0.5610809707616476,0.30101047085545474,-0.41280056670050663,-0.5142580690729699,-1.0897419183988697,-1.3092557821245316,-0.9783926964692042,1.9581966399187138,-0.3356312152273548,0.24046870651717872,0.3578007980542744,0.17382062585740235,-0.883707297486854,0.2141937036191921,-0.3859332384216168,0.5882132285733578,-0.815955496886081,0.7971541471321643
